project	old_path	new_path	title
Documentary	assets/img/RDP0080.jpg	assets/img/projects/documentary/evening.jpg	evening
Documentary	assets/img/RDP0276.jpg	assets/img/projects/documentary/after-work.jpg	after work
Documentary	assets/img/RDP0257.jpg	assets/img/projects/documentary/fall.jpg	fall
Documentary	assets/img/RDP0233.jpg	assets/img/projects/documentary/fall-2.jpg	fall
Egypt	assets/img/RDP0930.jpg	assets/img/projects/egypt/field-view.jpg	Field view
Egypt	assets/img/RDP0628.jpg	assets/img/projects/egypt/desert.jpg	Desert
Egypt	assets/img/RDP0765.jpg	assets/img/projects/egypt/parking-spot.jpg	Parking spot
Egypt	assets/img/RDP0907.jpg	assets/img/projects/egypt/mahmoud-praying-towards-mecca.jpg	Mahmoud praying towards Mecca
Field	assets/img/RDP0984.jpg	assets/img/projects/field/point-bonita-lighthouse.jpg	Point Bonita lighthouse
Field	assets/img/RDP1004.jpg	assets/img/projects/field/full-rainbow.jpg	full rainbow
Field	assets/img/foram3-1.jpg	assets/img/projects/field/merced-foram.jpg	Merced foram
Field	assets/img/foram5-1.jpg	assets/img/projects/field/merced-foram-2.jpg	Merced foram
Field	assets/img/IMG_2896.jpeg	assets/img/projects/field/lac-saint-jean.jpeg	Lac Saint Jean
Field	assets/img/IMG_3016.jpeg	assets/img/projects/field/saint-urbain.jpeg	Saint Urbain
Field	assets/img/RDP0173.jpg	assets/img/projects/field/saint-urbain-2.jpg	Saint Urbain
Field	assets/img/RDP0147-Pano.jpg	assets/img/projects/field/oman-pano.jpg	Oman pano
Field	assets/img/RDP0235.jpg	assets/img/projects/field/oman-pano-2.jpg	Oman pano
Field	assets/img/RDP0601.jpg	assets/img/projects/field/field-breakfast.jpg	field breakfast
Field	assets/img/RDP0646.jpg	assets/img/projects/field/oman-ophiolite.jpg	Oman ophiolite
Field	assets/img/RDP0688.jpg	assets/img/projects/field/oman-fortress.jpg	Oman fortress
Minnesota	assets/img/RDP0089.jpg	assets/img/projects/minnesota/early-fall.jpg	early fall
Minnesota	assets/img/RDP1841.jpg	assets/img/projects/minnesota/old-cedar-ave-trail-view.jpg	Old Cedar Ave trail view
Minnesota	assets/img/RDP2061.jpg	assets/img/projects/minnesota/bird-cherry.jpg	Bird Cherry
Minnesota	assets/img/RDP0086_2.jpg	assets/img/projects/minnesota/old-cedar-ave-trail-view-2.jpg	Old Cedar Ave trail view
Minnesota	assets/img/RDP0573.jpg	assets/img/projects/minnesota/thunderstorm.jpg	thunderstorm
Minnesota	assets/img/RDP0002.jpg	assets/img/projects/minnesota/thunderstorm-2.jpg	thunderstorm
Minnesota	assets/img/RDP0232.jpg	assets/img/projects/minnesota/post-thunderstorm.jpg	post-thunderstorm
Minnesota	assets/img/RDP0250.jpg	assets/img/projects/minnesota/post-thunderstorm-2.jpg	post-thunderstorm
Minnesota	assets/img/RDP0230.jpg	assets/img/projects/minnesota/post-thunderstorm-3.jpg	post-thunderstorm
Minnesota	assets/img/RDP0242.jpg	assets/img/projects/minnesota/rainbow-air-plane-and-baloon.jpg	rainbow, air plane, and baloon
Minnesota	assets/img/RDP0125.jpg	assets/img/projects/minnesota/early-fall-2.jpg	early fall
Minnesota	assets/img/RDP0021.jpg	assets/img/projects/minnesota/early-fall-3.jpg	early fall
Minnesota	assets/img/RDP0069.jpg	assets/img/projects/minnesota/early-fall-4.jpg	early fall
Minnesota	assets/img/RDP0059.jpg	assets/img/projects/minnesota/2024-minnesota-winter.jpg	2024 Minnesota winter
Minnesota	assets/img/RDP0061.jpg	assets/img/projects/minnesota/2024-minnesota-winter-2.jpg	2024 Minnesota winter
Minnesota	assets/img/RDP0064.jpg	assets/img/projects/minnesota/2024-minnesota-winter-3.jpg	2024 Minnesota winter
Minnesota	assets/img/RDP0066.jpg	assets/img/projects/minnesota/2024-minnesota-winter-4.jpg	2024 Minnesota winter
Minnesota	assets/img/RDP1147.jpg	assets/img/projects/minnesota/sunrise.jpg	sunrise
Montana	assets/img/RDP0152.jpg	assets/img/projects/montana/thunderstorm.jpg	thunderstorm
Montana	assets/img/RDP0039.jpg	assets/img/projects/montana/thunderstorm-2.jpg	thunderstorm
Montana	assets/img/RDP0391.jpg	assets/img/projects/montana/rainbow.jpg	rainbow
Montana	assets/img/RDP0402.jpg	assets/img/projects/montana/sunset.jpg	sunset
Montana	assets/img/RDP0453.jpg	assets/img/projects/montana/sunset-2.jpg	sunset
Nanjing	assets/img/RDP0231.jpg	assets/img/projects/nanjing/lotus-flower.jpg	Lotus flower
Nanjing	assets/img/RDP0347.jpg	assets/img/projects/nanjing/lotus-flower-2.jpg	Lotus flower
Nanjing	assets/img/RDP0422.jpg	assets/img/projects/nanjing/lotus-flower-3.jpg	Lotus flower
Nanjing	assets/img/RDP0488.jpg	assets/img/projects/nanjing/lotus-leaf.jpg	Lotus leaf
Nanjing	assets/img/RDP0763.jpg	assets/img/projects/nanjing/nanjing-sunset.jpg	Nanjing sunset
Nanjing	assets/img/RDP0818.jpg	assets/img/projects/nanjing/nanjing-sunset-2.jpg	Nanjing sunset
Nanjing	assets/img/RDP0832.jpg	assets/img/projects/nanjing/nanjing-sunset-3.jpg	Nanjing sunset
Nanjing	assets/img/RDP1463.jpg	assets/img/projects/nanjing/nanjing-lantern-festival.jpg	Nanjing lantern festival
Nighsky	assets/img/RDP0124_1.jpg	assets/img/projects/nighsky/cover.jpg	
Nighsky	assets/img/RDP0120.jpg	assets/img/projects/nighsky/moon-and-mars.jpg	Moon and Mars
